iso_date,PLAYER FULL NAME,OWN TEAM,OPP TEAM,PTS
29-10-2013,Jason Maxiell,Orl,Ind,0
29-10-2013,Maurice Harkless,Orl,Ind,14
29-10-2013,Nikola Vucevic,Orl,Ind,8
29-10-2013,Arron Afflalo,Orl,Ind,9
29-10-2013,Jameer Nelson,Orl,Ind,12
29-10-2013,Victor Oladipo,Orl,Ind,12
29-10-2013,Andrew Nicholson,Orl,Ind,18
29-10-2013,E'Twaun Moore,Orl,Ind,6
29-10-2013,Kyle O'Quinn,Orl,Ind,6
29-10-2013,Ronnie Price,Orl,Ind,2
29-10-2013,Solomon Jones,Orl,Ind,0
29-10-2013,Paul George,Ind,Orl,24
29-10-2013,David West,Ind,Orl,13
29-10-2013,Roy Hibbert,Ind,Orl,8
29-10-2013,Lance Stephenson,Ind,Orl,19
29-10-2013,George Hill,Ind,Orl,7
29-10-2013,Orlando Johnson,Ind,Orl,9
29-10-2013,Luis Scola,Ind,Orl,8
29-10-2013,C.J. Watson,Ind,Orl,5
29-10-2013,Solomon Hill,Ind,Orl,0
29-10-2013,Ian Mahinmi,Ind,Orl,4
29-10-2013,Rasual Butler,Ind,Orl,0
29-10-2013,Luol Deng,Chi,Mia,4
29-10-2013,Carlos Boozer,Chi,Mia,31
29-10-2013,Joakim Noah,Chi,Mia,2
29-10-2013,Jimmy Butler,Chi,Mia,20
29-10-2013,Derrick Rose,Chi,Mia,12
29-10-2013,Mike Dunleavy,Chi,Mia,10
29-10-2013,Taj Gibson,Chi,Mia,10
29-10-2013,Kirk Hinrich,Chi,Mia,6
29-10-2013,Nazr Mohammed,Chi,Mia,0
29-10-2013,Tony Snell,Chi,Mia,0
29-10-2013,LeBron James,Mia,Chi,17
29-10-2013,Udonis Haslem,Mia,Chi,6
29-10-2013,Chris Bosh,Mia,Chi,16
29-10-2013,Dwyane Wade,Mia,Chi,13
29-10-2013,Mario Chalmers,Mia,Chi,13
29-10-2013,Ray Allen,Mia,Chi,11
29-10-2013,Shane Battier,Mia,Chi,14
29-10-2013,Norris Cole,Mia,Chi,11
